bias,mae,p95_abs_error,parameter,pred_max,pred_mean,pred_min,rmse,target_max,target_mean,target_min
7.313135e-09,4.859667e-08,9.381786e-08,total_delay_s,1.059221e-07,9.848069e-08,9.265442e-08,5.602793e-08,1.983582e-07,9.116756e-08,6.743011e-10
-4.287386e-09,1.550535e-08,3.841972e-08,cfo_hz,5.891833e-08,-4.287386e-09,-5.381724e-08,1.980948e-08,0.000000e+00,0.000000e+00,0.000000e+00
2.950702e-08,3.485513e-08,7.277433e-08,rel_delay_s,2.117345e-07,1.588470e-07,1.117685e-07,4.554978e-08,1.968000e-07,1.293400e-07,6.297000e-08
6.309990e-09,2.765085e-08,6.914050e-08,doppler_hz,1.158199e-07,6.309990e-09,-1.147084e-07,3.504201e-08,0.000000e+00,0.000000e+00,0.000000e+00
-2.605969e-10,1.983956e-08,4.644374e-08,rx_time_offsets_s,6.063511e-09,-2.213195e-10,-6.817525e-09,2.601511e-08,4.984342e-08,3.927764e-11,-4.973169e-08
