bias,mae,p95_abs_error,parameter,pred_max,pred_mean,pred_min,rmse,target_max,target_mean,target_min
1.141564e-08,4.853420e-08,9.439144e-08,total_delay_s,1.091475e-07,1.025832e-07,9.722575e-08,5.650103e-08,1.983582e-07,9.116756e-08,6.743011e-10
3.836143e-09,1.231005e-08,2.878228e-08,cfo_hz,4.632362e-08,3.836143e-09,-3.924045e-08,1.531092e-08,0.000000e+00,0.000000e+00,0.000000e+00
2.945719e-08,3.158070e-08,6.561015e-08,rel_delay_s,2.067075e-07,1.587972e-07,1.113341e-07,4.216620e-08,1.968000e-07,1.293400e-07,6.297000e-08
-3.113411e-09,2.267018e-08,5.653136e-08,doppler_hz,1.193951e-07,-3.113411e-09,-9.631511e-08,2.893407e-08,0.000000e+00,0.000000e+00,0.000000e+00
-1.017119e-09,2.001560e-08,5.014434e-08,rx_time_offsets_s,1.788878e-08,-9.778410e-10,-2.185906e-08,2.659466e-08,4.984342e-08,3.927764e-11,-4.973169e-08
