l_eff,scenario,variant,ls_mode,channel_nmse,channel_nmse_db,observed_symbol_nmse,observed_symbol_nmse_db,train_loss_final,train_param_loss_final,train_normalized_mse_sum,validation_loss_final,validation_param_loss_final,val_normalized_mse_sum,val_tau0_loss,val_cfo_loss,val_delay_loss,val_doppler_loss,val_rx_offset_loss,weights_source,weights_min,weights_max,parameter_count
6,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,9.428027e-02,-1.355951e+01,8.613388e-08,-7.244796e+01,4.327121e-02,4.325752e-02,4.325752e-02,9.428027e-02,4.339280e-02,4.339280e-02,3.414977e-03,3.350961e-03,4.168519e-03,1.124264e-02,2.121570e-02,,,,1.738740e+05
6,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,5.080338e-03,-2.613835e+01,5.044798e-08,-7.426824e+01,-1.021139e-01,-1.021148e-01,3.913112e-02,5.080338e-03,-1.032169e-01,3.867967e-02,3.273906e-03,4.731448e-03,1.762740e-03,6.640116e-03,2.227146e-02,,,,1.761900e+05
6,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,6.521103e-03,-2.362703e+01,2.485113e-06,-5.867510e+01,-6.564600e-02,-6.646068e-02,6.277213e-02,6.521103e-03,-7.023147e-02,6.083874e-02,3.361144e-03,4.789225e-03,1.755849e-03,2.493684e-02,2.599568e-02,uncertainty,5.882763e-01,1.377369e+00,1.761900e+05
6,query,query_v1_traditional_ls,traditional_ls,6.334838e-02,-1.250811e+01,1.843640e-07,-6.802571e+01,-2.581574e-01,-2.581703e-01,4.953349e-02,6.334838e-02,-2.692798e-01,4.312176e-02,5.430258e-03,3.423257e-03,4.845790e-03,1.071215e-02,1.871030e-02,,,,4.345030e+05
6,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,4.552107e-03,-2.821173e+01,8.884652e-05,-4.894782e+01,-2.969088e-01,-3.000340e-01,4.764026e-02,4.552107e-03,-3.062761e-01,4.527372e-02,4.572158e-03,4.545421e-03,4.631522e-03,1.353538e-02,1.798924e-02,uncertainty,6.917050e-01,1.261949e+00,4.345030e+05
6,epgt,epgt_v1_full_traditional_ls,traditional_ls,3.828539e-03,-2.561359e+01,4.767577e-08,-7.543225e+01,3.479905e-02,3.479788e-02,3.479788e-02,3.828539e-03,3.358839e-02,3.358839e-02,3.734485e-03,3.475770e-03,8.825107e-04,5.550895e-03,1.994473e-02,,,,2.316720e+05
6,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,4.607480e-04,-3.501403e+01,8.024009e-06,-5.708188e+01,-1.152665e-01,-1.157974e-01,4.145869e-02,4.607480e-04,-1.186436e-01,4.027131e-02,4.449196e-03,3.705104e-03,8.644880e-04,1.086133e-02,2.039120e-02,uncertainty,6.319942e-01,1.325247e+00,2.339880e+05
