bias,mae,p95_abs_error,parameter,pred_max,pred_mean,pred_min,rmse,target_max,target_mean,target_min
4.608323e-09,4.780372e-08,9.280680e-08,total_delay_s,1.030935e-07,9.577587e-08,9.033649e-08,5.554367e-08,1.983582e-07,9.116756e-08,6.743011e-10
1.918516e-08,2.200096e-08,4.855780e-08,cfo_hz,5.861732e-08,1.918516e-08,-2.926892e-08,2.607613e-08,0.000000e+00,0.000000e+00,0.000000e+00
2.508797e-08,3.143487e-08,6.857285e-08,rel_delay_s,2.226999e-07,1.544280e-07,8.122053e-08,3.988998e-08,1.968000e-07,1.293400e-07,6.297000e-08
-8.277385e-09,2.189139e-08,5.837012e-08,doppler_hz,6.401731e-08,-8.277385e-09,-8.930439e-08,2.841907e-08,0.000000e+00,0.000000e+00,0.000000e+00
-1.689458e-10,1.990408e-08,4.677415e-08,rx_time_offsets_s,4.494370e-09,-1.296682e-10,-5.722862e-09,2.603260e-08,4.984342e-08,3.927764e-11,-4.973169e-08
