run,variant,reconstruction_weight,finetune_steps,channel_nmse,channel_nmse_db,val_normalized_mse_sum,val_delay_loss
two_stage_0p5us_rw0p02_ft20,query_v1_traditional_ls,0.02,20,1.961770e-01,-1.501987e+01,4.192758e-02,5.469080e-03
two_stage_0p5us_rw0p02_ft20,query_v1_weighted_ls,0.02,20,3.522473e-02,-2.619904e+01,4.919431e-02,5.342704e-03
two_stage_0p5us_rw0p02_ft20,epgt_v1_full_traditional_ls,0.02,20,1.624671e-01,-1.227825e+01,5.032802e-02,1.037230e-03
two_stage_0p5us_rw0p02_ft20,epgt_v1_uncertainty_weighted_ls,0.02,20,1.019792e-02,-2.253790e+01,6.216314e-02,7.225587e-04
two_stage_0p5us_rw0p02_ft40,hybrid_original_v1_traditional_ls,0.02,40,7.570797e-03,-2.322953e+01,4.253577e-02,3.580194e-03
two_stage_0p5us_rw0p02_ft40,uncertainty_v1_traditional_ls,0.02,40,6.484535e-02,-1.264068e+01,1.421959e-01,1.562185e-03
two_stage_0p5us_rw0p02_ft40,uncertainty_v1_weighted_ls,0.02,40,2.587181e-03,-2.699387e+01,6.593703e-02,3.769291e-03
two_stage_0p5us_rw0p02_ft40,query_v1_traditional_ls,0.02,40,8.954969e-01,-1.847742e+00,7.812580e-02,8.018350e-03
two_stage_0p5us_rw0p02_ft40,query_v1_weighted_ls,0.02,40,5.402334e-04,-3.320102e+01,4.035495e-02,3.377649e-03
two_stage_0p5us_rw0p02_ft40,epgt_v1_full_traditional_ls,0.02,40,2.756662e-02,-1.700753e+01,1.176784e-01,4.342979e-03
two_stage_0p5us_rw0p02_ft40,epgt_v1_uncertainty_weighted_ls,0.02,40,6.282162e-02,-1.588493e+01,1.674301e-01,1.424888e-03
