bias,mae,p95_abs_error,parameter,pred_max,pred_mean,pred_min,rmse,target_max,target_mean,target_min
6.031926e-09,4.820149e-08,9.280546e-08,total_delay_s,1.038891e-07,9.719948e-08,9.028358e-08,5.587261e-08,1.983582e-07,9.116756e-08,6.743011e-10
5.158301e-09,1.909854e-08,4.239212e-08,cfo_hz,6.351188e-08,5.158301e-09,-5.318309e-08,2.318663e-08,0.000000e+00,0.000000e+00,0.000000e+00
5.587213e-08,5.800849e-08,1.091835e-07,rel_delay_s,2.368813e-07,1.852121e-07,1.444097e-07,7.310152e-08,1.968000e-07,1.293400e-07,6.297000e-08
2.433994e-09,2.702745e-08,6.891764e-08,doppler_hz,1.297896e-07,2.433994e-09,-1.196597e-07,3.469060e-08,0.000000e+00,0.000000e+00,0.000000e+00
-3.142977e-10,1.995057e-08,4.701046e-08,rx_time_offsets_s,5.665186e-09,-2.750203e-10,-5.976287e-09,2.612147e-08,4.984342e-08,3.927764e-11,-4.973169e-08
