l_eff,scenario,variant,ls_mode,channel_nmse,channel_nmse_db,observed_symbol_nmse,observed_symbol_nmse_db,train_loss_final,train_param_loss_final,train_normalized_mse_sum,validation_loss_final,validation_param_loss_final,val_normalized_mse_sum,val_tau0_loss,val_cfo_loss,val_delay_loss,val_doppler_loss,val_rx_offset_loss,weights_source,weights_min,weights_max,parameter_count
6,hybrid,hybrid_original_v1_traditional_ls,traditional_ls,1.876231e-03,-2.843822e+01,3.839325e-08,-7.502643e+01,3.299356e-02,3.298942e-02,3.298942e-02,1.876231e-03,3.791487e-02,3.791487e-02,3.652250e-03,4.393563e-03,2.952201e-03,7.402544e-03,1.951431e-02,,,,1.738740e+05
6,uncertainty_traditional,uncertainty_v1_traditional_ls,traditional_ls,8.366572e-02,-1.251903e+01,1.155213e-07,-7.003516e+01,-4.496291e-02,-4.498438e-02,7.067455e-02,8.366572e-02,-4.053453e-02,7.552393e-02,3.275975e-03,4.500707e-03,6.095179e-03,4.159531e-02,2.005676e-02,,,,1.761900e+05
6,uncertainty_weighted,uncertainty_v1_weighted_ls,learnable_weighted_ls,5.308669e-04,-3.396683e+01,7.195773e-06,-5.789103e+01,-1.283815e-01,-1.289799e-01,3.768718e-02,5.308669e-04,-1.235708e-01,4.315809e-02,3.199796e-03,5.813389e-03,1.096582e-03,1.019088e-02,2.285744e-02,uncertainty,6.581098e-01,1.296539e+00,1.761900e+05
6,query,query_v1_traditional_ls,traditional_ls,1.706715e-02,-2.160207e+01,8.319313e-08,-7.187125e+01,-3.465313e-01,-3.465431e-01,3.774621e-02,1.706715e-02,-3.427886e-01,4.077791e-02,3.815843e-03,3.350039e-03,2.779949e-03,1.158877e-02,1.924331e-02,,,,4.345030e+05
6,query_weighted,query_v1_weighted_ls,learnable_weighted_ls,7.326879e-03,-2.255076e+01,1.453333e-05,-4.899371e+01,-2.263936e-01,-2.287679e-01,6.018851e-02,7.326879e-03,-2.358906e-01,5.662327e-02,5.071592e-03,3.189818e-03,6.870915e-03,2.198336e-02,1.950758e-02,uncertainty,6.480713e-01,1.307380e+00,4.345030e+05
6,epgt,epgt_v1_full_traditional_ls,traditional_ls,1.370802e-02,-2.023361e+01,8.210181e-08,-7.164774e+01,3.857895e-02,3.856436e-02,3.856436e-02,1.370802e-02,3.997758e-02,3.997758e-02,3.913928e-03,3.383942e-03,8.041437e-04,1.193700e-02,1.993857e-02,,,,2.316720e+05
6,epgt_weighted,epgt_v1_uncertainty_weighted_ls,learnable_weighted_ls,7.356567e-03,-2.257575e+01,1.166427e-06,-6.100827e+01,-6.941825e-02,-7.068327e-02,7.279269e-02,7.356567e-03,-7.491890e-02,7.058811e-02,4.270119e-03,3.334521e-03,8.040418e-04,4.188795e-02,2.029148e-02,uncertainty,6.514024e-01,1.303786e+00,2.339880e+05
